tweet_id,favourite_count,retweet_count
892420643555336193,39492,8842
892177421306343426,33786,6480
891815181378084864,25445,4301
891689557279858688,42863,8925
891327558926688256,41016,9721
891087950875897856,20548,3240
890971913173991426,12053,2142
890729181411237888,66596,19548
890609185150312448,28187,4403
890240255349198849,32467,7684
890006608113172480,31127,7584
889880896479866881,28208,5116
889665388333682689,38745,8502
889638837579907072,27633,4705
889531135344209921,15329,2309
889278841981685760,25712,5635
888917238123831296,29555,4681
888804989199671297,26021,4535
888554962724278272,20267,3722
888078434458587136,22144,3637
887705289381826560,30690,5584
887517139158093824,46940,12053
887473957103951883,70007,18813
887343217045368832,34223,10713
887101392804085760,31045,6147
886983233522544640,35786,8045
886736880519319552,12286,3420
886680336477933568,22802,4597
886366144734445568,21488,3297
886267009285017600,117,4
886258384151887873,28437,6506
886054160059072513,0,106
885984800019947520,33299,7043
885528943205470208,36592,6642
885518971528720385,20739,3876
885311592912609280,0,19188
885167619883638784,22304,4526
884925521741709313,78881,19149
884876753390489601,28429,6042
884562892145688576,24716,5076
884441805382717440,27443,5836
884247878851493888,74192,21105
884162670584377345,20719,3099
883838122936631299,22269,3559
883482846933004288,46741,10336
883360690899218434,22932,3802
883117836046086144,37810,6900
882992080364220416,24358,4086
882762694511734784,28810,5086
882627270321602560,28327,6303
882268110199369728,45745,12013
882045870035918850,29843,5162
881906580714921986,24708,3516
881666595344535552,51390,11026
881633300179243008,129,7
881536004380872706,50326,16564
881268444196462592,23462,5328
880935762899988482,17288,2871
880872448815771648,21667,3957
880465832366813184,28997,6500
880221127280381952,27561,4398
880095782870896641,28085,4506
879862464715927552,22609,3615
879674319642796034,313,10
879492040517615616,23778,3300
879415818425184262,107834,45655
879376492567855104,17061,3239
879130579576475649,0,7118
879050749262655488,22978,4890
879008229531029506,19265,2793
878776093423087618,19708,4282
878604707211726852,30835,7510
878404777348136964,0,1338
878316110768087041,0,6925
878281511006478336,7890,1338
878057613040115712,42743,7118
